STATE/UT,DISTRICT,TOTAL_RAPE,Population,Latitude,Longitude,RISK_RATE,RISK_LEVEL
andhra pradesh,anantapur,675,4083315.0,14.7,77.6,16.530686464306573,High
andhra pradesh,chittoor,959,4170468.0,14.47,78.82,22.995021182274986,High
andhra pradesh,east godavari,1740,5151549.0,16.95,82.25,33.77624865841323,High
andhra pradesh,guntur,1564,4889230.0,16.3,80.45,31.98867715366223,High
andhra pradesh,krishna,1525,4529009.0,16.28,81.22,33.671825337507606,High
andhra pradesh,kurnool,1047,4046601.0,15.8,77.97,25.873566482092006,High
andhra pradesh,prakasam,297,3392764.0,15.33,79.55,8.753924528791275,Medium
andhra pradesh,sri potti sriramulu nellore,121,2966082.0,14.43,80.0,4.0794556590141475,Low
andhra pradesh,srikakulam,847,2699471.0,18.42,84.02,31.376517843681224,High
andhra pradesh,visakhapatnam,1482,4288113.0,17.7,83.28,34.56065640061257,High
andhra pradesh,vizianagaram,803,2342868.0,18.2,83.4,34.27423141209833,High
andhra pradesh,west godavari,2811,3934782.0,16.12,81.02,71.4397900569841,High
arunachal pradesh,anjaw,2,21089.0,27.92,96.33,9.483617051543458,Medium
arunachal pradesh,changlang,133,147951.0,27.12,95.73,89.89462727524653,High
arunachal pradesh,east kameng,12,78413.0,0.0,0.0,15.30358486475457,High
arunachal pradesh,east siang,19,99019.0,0.0,0.0,19.18823660105636,High
arunachal pradesh,kamle,1,22256.0,0.0,0.0,4.493170381020849,Low
arunachal pradesh,kra daadi,0,0.0,0.0,0.0,,Low
arunachal pradesh,kurung kumey,6,89717.0,27.9,93.35,6.687695754427812,Medium
arunachal pradesh,lohit,135,145538.0,28.0,96.5,92.75927936346521,High
arunachal pradesh,longding,20,60000.0,0.0,0.0,33.333333333333336,High
arunachal pradesh,lower dibang valley,7,53986.0,28.13,95.83,12.966324602674765,High
arunachal pradesh,lower siang,7,80597.0,0.0,0.0,8.685186793553111,Medium
arunachal pradesh,lower subansiri,2,82839.0,27.8,93.6,2.41432175666051,Low
arunachal pradesh,namsai,15,95950.0,27.67,95.87,15.63314226159458,High
arunachal pradesh,papum pare,259,176385.0,27.15,93.72,146.83788303994106,High
arunachal pradesh,shi yomi,1,13310.0,0.0,0.0,7.5131480090157785,Medium
arunachal pradesh,siang,8,31920.0,28.2,94.98,25.06265664160401,High
arunachal pradesh,tawang,18,49950.0,27.58,91.85,36.03603603603604,High
arunachal pradesh,tirap,36,111997.0,26.98,95.5,32.143718135307196,High
arunachal pradesh,upper dibang valley,0,7948.0,28.7,95.7,0.0,Low
arunachal pradesh,upper siang,5,35289.0,28.6,95.03,14.168721131230694,High
arunachal pradesh,upper subansiri,13,83205.0,28.3,94.0,15.624061054023196,High
arunachal pradesh,west kameng,9,87013.0,0.0,0.0,10.343282038316113,High
arunachal pradesh,west siang,26,112272.0,28.4,94.55,23.158044748468008,High
